file,radius_threshold,volume
craters_4.csv,1,980.8548950803746
craters_4.csv,1,972.9846718237311
craters_4.csv,1,951.5824562773122
craters_4.csv,1,845.3862188967811
craters_4.csv,1,925.0696029570342
craters_4.csv,1,932.411737369653
craters_4.csv,1,928.2270809908065
craters_4.csv,1,945.158338970859
craters_4.csv,1,1001.2128342476855
craters_4.csv,1,869.5110392951034
craters_4.csv,1.2,980.8548950803746
craters_4.csv,1.2,972.9846718237311
craters_4.csv,1.2,951.5824562773122
craters_4.csv,1.2,845.3862188967811
craters_4.csv,1.2,968.3906300736968
craters_4.csv,1.2,932.411737369653
craters_4.csv,1.2,928.2270809908065
craters_4.csv,1.2,945.158338970859
craters_4.csv,1.2,1045.6356992258588
craters_4.csv,1.2,903.4550739214159
craters_4.csv,1.4,1035.2884226696733
craters_4.csv,1.4,972.9846718237311
craters_4.csv,1.4,1009.4532257619092
craters_4.csv,1.4,902.8254679133513
craters_4.csv,1.4,1073.725487236708
craters_4.csv,1.4,934.5542733663023
craters_4.csv,1.4,977.914852275963
craters_4.csv,1.4,1019.8702252131471
craters_4.csv,1.4,1045.6356992258588
craters_4.csv,1.4,971.352454372732
craters_4.csv,1.6,1035.2884226696733
craters_4.csv,1.6,972.9846718237311
craters_4.csv,1.6,1108.043286768145
craters_4.csv,1.6,902.8254679133513
craters_4.csv,1.6,1181.012248791763
craters_4.csv,1.6,1028.7746279408589
craters_4.csv,1.6,977.914852275963
craters_4.csv,1.6,1019.8702252131471
craters_4.csv,1.6,1045.6356992258588
craters_4.csv,1.6,971.352454372732
craters_4.csv,1.8,1035.2884226696733
craters_4.csv,1.8,972.9846718237311
craters_4.csv,1.8,1275.9025997770007
craters_4.csv,1.8,902.8254679133513
craters_4.csv,1.8,1181.012248791763
craters_4.csv,1.8,1166.0875385241443
craters_4.csv,1.8,1138.047384083438
craters_4.csv,1.8,1163.3456266249452
craters_4.csv,1.8,1045.6356992258588
craters_4.csv,1.8,1106.3119632106589
craters_4.csv,2,1035.2884226696733
craters_4.csv,2,1160.29533675457
craters_4.csv,2,1275.9025997770007
craters_4.csv,2,902.8254679133513
craters_4.csv,2,1181.012248791763
craters_4.csv,2,1589.0748570046435
craters_4.csv,2,1138.047384083438
craters_4.csv,2,1163.3456266249452
craters_4.csv,2,1045.6356992258588
craters_4.csv,2,1106.3119632106589
craters_3.csv,1,946.6557879605418
craters_3.csv,1,979.8434990906206
craters_3.csv,1,910.8073103648718
craters_3.csv,1,996.0754507278159
craters_3.csv,1,961.1559573765356
craters_3.csv,1,1072.6942810826051
craters_3.csv,1,945.1010377393576
craters_3.csv,1,1013.3828027039251
craters_3.csv,1,939.9613580237758
craters_3.csv,1,999.7882595448276
craters_3.csv,1.2,946.6557879605418
craters_3.csv,1.2,979.8434990906206
craters_3.csv,1.2,910.8073103648718
craters_3.csv,1.2,1042.2675611103589
craters_3.csv,1.2,961.1559573765356
craters_3.csv,1.2,1072.6942810826051
craters_3.csv,1.2,945.1010377393576
craters_3.csv,1.2,1043.8985661181002
craters_3.csv,1.2,977.3766285576557
craters_3.csv,1.2,1085.069169343874
craters_3.csv,1.4,1013.3365727791058
craters_3.csv,1.4,979.8434990906206
craters_3.csv,1.4,910.8073103648718
craters_3.csv,1.4,1180.0915384826067
craters_3.csv,1.4,961.1559573765356
craters_3.csv,1.4,1072.6942810826051
craters_3.csv,1.4,945.1010377393576
craters_3.csv,1.4,1043.8985661181002
craters_3.csv,1.4,1045.3445467935355
craters_3.csv,1.4,1085.069169343874
craters_3.csv,1.6,1130.4442760565373
craters_3.csv,1.6,979.8434990906206
craters_3.csv,1.6,910.8073103648718
craters_3.csv,1.6,1283.4449557476726
craters_3.csv,1.6,961.1559573765356
craters_3.csv,1.6,1273.5702503782081
craters_3.csv,1.6,945.1010377393576
craters_3.csv,1.6,1043.8985661181002
craters_3.csv,1.6,1045.3445467935355
craters_3.csv,1.6,1085.069169343874
craters_3.csv,1.8,1300.960515475939
craters_3.csv,1.8,979.8434990906206
craters_3.csv,1.8,910.8073103648718
craters_3.csv,1.8,1283.4449557476726
craters_3.csv,1.8,1267.3318917437616
craters_3.csv,1.8,1418.425366396953
craters_3.csv,1.8,945.1010377393576
craters_3.csv,1.8,1043.8985661181002
craters_3.csv,1.8,1045.3445467935355
craters_3.csv,1.8,1085.069169343874
craters_3.csv,2,1300.960515475939
craters_3.csv,2,979.8434990906206
craters_3.csv,2,1302.0519234058386
craters_3.csv,2,1283.4449557476726
craters_3.csv,2,1434.7642577747058
craters_3.csv,2,1418.425366396953
craters_3.csv,2,945.1010377393576
craters_3.csv,2,1043.8985661181002
craters_3.csv,2,1235.987434923028
craters_3.csv,2,1085.069169343874
craters_5.csv,1,711.1694827973854
craters_5.csv,1,751.4277702380267
craters_5.csv,1,746.7325402338791
craters_5.csv,1,743.0287332563603
craters_5.csv,1,743.8079788674356
craters_5.csv,1,685.3191258481387
craters_5.csv,1,721.5893498474709
craters_5.csv,1,746.7664563259531
craters_5.csv,1,737.1061267597606
craters_5.csv,1,736.6342042837298
craters_5.csv,1.2,776.6228876056012
craters_5.csv,1.2,779.3138438015056
craters_5.csv,1.2,746.7325402338791
craters_5.csv,1.2,770.5979013358445
craters_5.csv,1.2,743.8079788674356
craters_5.csv,1.2,685.3191258481387
craters_5.csv,1.2,721.5893498474709
craters_5.csv,1.2,746.7664563259531
craters_5.csv,1.2,737.1061267597606
craters_5.csv,1.2,736.6342042837298
craters_5.csv,1.4,776.6228876056012
craters_5.csv,1.4,779.3138438015056
